NAME,TAGLINE,HQ REGION,HQ COUNTRY,HQ CITY,LATITUDE,LONGITUDE,TOTAL FUNDING (EUR M),TAGS,INDUSTRIES,SUB INDUSTRIES,GROWTH STAGE,INVESTORS,EACH INVESTOR TYPES,Closest FUA,public and non-profit,investment entities,support programs,advisory and service provider
Qarnot,"Developing a computing power system distributed in buildings, to value computer waste heat and reduce carbon footprint within IT infrastructures.  ",Europe,France,Paris,48.816363,2.317384,25.69,smart home;smart building;cloud computing;sustainable development goals;cloud infrastructure;infrastructure services;climate tech,energy;hosting,energy efficiency;clean energy,late growth,European Innovation Council;Eurostars SME programme;Avolta Partners;Banque des Territoires;Caisse des Dépôts - CDC Group;Engie Rassembleurs d’Energies;A/O Proptech;Groupe Casino;EIT Digital Accelerator;Ventech;EIC Fund (European Innovation Council Fund);Societe Generale;Demeter Partners;Colam Impact;ADEME Investissement;Just a moment...;Ventech China,"public and non-profit;public and non-profit;advisory and service provider;investment entities;investment entities;investment entities;investment entities;investment entities;support programs;investment entities;investment entities;investment entities;investment entities,investment entities;investment entities;investment entities;investment entities;investment entities",Paris,2,12,1,1
Cylib,Battery recycling with proprietary end-to-end technology,Europe,Germany,Aachen,50.776351,6.083862,11.6,lithium ion batteries;recycling;circular economy;sustainable development goals;climate tech;battery;ev battery;ev battery recycling,energy,waste solution;energy storage,early growth,Speedinvest;Vsquared Ventures;Lawrence Leuschner;Kai Hansen;Torge Thönnessen;Leopold König;Maximilian Odendahl;Karim Tabet Jalbout;RWTH Aachen University;Blue Impact Ventures;World Fund;10X Founders,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;public and non-profit;investment entities;investment entities;investment entities,Aachen,1,11,0,0
Ecoworks,Developed a process for improving the energy efficiency of existing homes,Europe,Germany,Berlin,52.5084593,13.3923502,17.63,sustainable development goals;climate tech;green buildings;building energy efficiency;building energy retrofit;urban tech;serial renovation,real estate;energy,construction;energy efficiency,late growth,Surplus Invest;PropTech1 Ventures;Wi Venture;Alexander Ljung;Christian Vollmann;Motu Ventures;EIT Climate-KIC;SB21 - Saarbruecker21;Warema;JLL Spark;Zacua Ventures;Blackhorn Ventures,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;support programs;investment entities;investment entities;investment entities;investment entities;investment entities,Berlin,0,11,1,0
NAWA Technologies,"Innovative, economically competitive, reliable and environmentally friendly Ultra-Fast Carbon battery and applied nanotechnology",Europe,France,Grenoble,45.3993648,5.5808001,43.5,battery;sustainable development goals;ev battery other chemistry;space tech;ev battery;climate tech;space upstream;materials for space;space vehicles components and payloads;novel energy;electric mobility;other chemistry novel energy;alternative battery chemistry,energy;transportation,energy efficiency;energy storage,late growth,EIT InnoEnergy;Demeter Partners;CEA Investissement;Région Sud Investissement;Eurostars SME programme;Bpifrance;CAAP Creation;Supernova Invest;Eurowatt;Turenne Capital;Kouros SA;Opus Consulting Solutions;Altya Invest,"investment entities;investment entities,investment entities;investment entities;investment entities;public and non-profit;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities",Grenoble,1,11,0,0
Verkor,"Verkor is a French industrial company set to amplify battery cell production in Europe, with the support of EIT InnoEnergy, Schneider Electric and the IDEC Group",Europe,France,Grenoble,45.2066828,5.6989191,100,sustainable development goals;lithium ion batteries;ev battery;climate tech;electric mobility;battery;ev battery production,energy;transportation,energy storage,late growth,EIT InnoEnergy;Schneider Electric;IDEC Group;EQT Ventures;Groupe Renault;Région Auvergne-Rhône-Alpes;Capgemini;Arkema;Tokai Cobex HoldCo;Demeter;Demeter Partners;European Investment Bank;Bpifrance;Demeter,"investment entities;investment entities;investment entities;investment entities;investment entities;public and non-profit;investment entities;investment entities;investment entities;investment entities;investment entities,investment entities;public and non-profit;investment entities;investment entities",Grenoble,2,11,0,0
INERATEC,Producer of sustainable e-kerosene made from carbon dioxide and green hydrogen,Europe,Germany,Karlsruhe,49.027723,8.351696,24.18,hydrogen;climate tech;vivatech2019;sustainable development goals;carbon capture and storage;novel energy;sustainable aviation fuel;carbon utilisation;circular economy,energy,clean energy;oil & gas,late growth,"Planet A Ventures;High-Tech Gründerfonds;Extantia Capital;Planet A;FO Holding;Engie;Safran;MPC;Federal Ministry for the Environment, Nature Conservation, Nuclear Safety and Consumer Protection;Honda Motor Co Ltd;ENGIE New Ventures",investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Karlsruhe,0,11,0,0
Solar Foods,Introducing a game-changing natural protein for the global food industry,Europe,Finland,Lappeenranta,61.0621534,28.0966056,69.12,biotechnology;food processing;alternative protein;social entrepreneurship;solar energy;sustainable development goals;nutrition;nutrition solution;chemical;algae;macro-nutrients;space tech;fermentation;enabler of alternative proteins;climate tech;esa bic;esa;space upstream;space exploration;in-space human presence;nordic rising star 2022;spinout;synthetic biology,food;energy,innovative food,early growth,VTT Ventures;Lifeline Ventures;Green Campus Innovations;Fazer;Bridford Group;Agronomics;CPT Capital;Holdix;Business Finland;The Finnish Climate Fund;EIT FAN Helsinki (Food Accelerator Network);Happiness Capital;ESA BIC Finland;Voima Ventures;VTT Technical Research Centre of Finland,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;public and non-profit;investment entities;support programs;investment entities;support programs;investment entities;public and non-profit,Helsinki,2,11,2,0
LeydenJar Technologies,Boosting battery energy with pure silicon anodes,Europe,Netherlands,Leiden,52.1684209,4.4572869,26.26,lithium ion batteries;sustainable development goals;automotive;ev battery tech;ev battery;climate tech;spinout;novel energy;electric mobility;next-gen lithium novel energy,energy;transportation,mobility;energy efficiency;energy storage,late growth,European Innovation Council;BOM Brabant Ventures;UNIIQ;Pjotr van Schothorst;PVS Investments;Pjotr van Schothorst;TNO - Netherlands Organisation for Applied Scientific Research;Catalus Capital;Yard Energy;Invest-NL;DOEN Participaties;InnovationQuarter;Dutch Ministry of Economic Affairs and Climate Policy;European Innovation Council and SMEs Executive Agency (EISMEA);European Investment Bank;Somerset Capital Partners,public and non-profit;investment entities;investment entities;investment entities;investment entities;investment entities;public and non-profit;investment entities;investment entities;investment entities;investment entities;investment entities;public and non-profit;public and non-profit;public and non-profit;investment entities,Leiden,5,11,0,0
Enmacc,Independent and innovative trading platform for the energy industry,Europe,Germany,Munich,48.1347522,11.5309366,17.7,trading;price comparison;energy tech;industrial technology;industrial marketplace,fintech;energy,wealth management,late growth,Cherry Ventures;Berlin Ventures;10x;Piton Capital;Illuminate Financial;Keyword VC;Keyword Venture Capital;Bayern Innovativ;Klima;Chevron Technology Ventures;Alantra;Bayern Kapital,"investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;advisory and service provider,investment entities;investment entities",Munich,0,11,0,0
Black Bear Carbon,The world's first producer of Cradle to Cradle Certified™ carbon black,Europe,Netherlands,Nederweert,51.2856418,5.7496037,24.33,sustainable development goals;climate tech,energy,waste solution,early growth,ING Group;5square;Rubio Impact Ventures;Capricorn Partners;Particon;ScaleUpNation;Brightlands Venture Partners;EIT RawMaterials;Chemelot Ventures;Invest-NL;Siam cement group;Quest for Growth;Chemistry Fund,investment entities;investment entities;investment entities;investment entities;investment entities;support programs;investment entities;support programs;investment entities;investment entities;investment entities;investment entities;investment entities,Eindhoven,0,11,2,0
Electra,A platform that provides charging stations Ultra fast for electric vehicles,Europe,France,Paris,48.856614,2.3522219,175,sustainable development goals;ev charging;ev charging hardware;electric mobility;ev charging infrastructure;rumoured $1b,energy;transportation,energy storage,late growth,Serena;Eurazeo;Frst;Grégory Frapet;Thibault CHASSAGNE;Karim KADDOURA;Bertrand Altmayer;Demba Diallo;RGreen Invest;Rive Private Investment;574 Invest;RATP;Chopard Group,"investment entities;investment entities,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,investment entities;investment entities;investment entities;investment entities",Paris,0,11,0,0
